asset_type,year_month,mean_price,score_ch1,score_ch2,score_ch3,score_ch4,score_ch5
cards,2024-09,340.716,31.52,0.11429019999999998,0.0033672,-0.36296,0.0591306
cards,2024-10,359.71999999999997,48.44,0.0,0.0,0.9682000000000001,0.0002532
cards,2024-11,405.29,54.379999999999995,0.074074,0.0024322,0.91598,0.0184078
cards,2024-12,454.162,60.48,0.0,0.0,0.77874,0.015318000000000002
cards,2025-01,533.0160000000001,72.24,0.1307342,0.0023204000000000002,0.95502,-0.008258999999999999
cards,2025-02,575.53,71.3,0.3162932,0.0068016,1.2943799999999999,-0.017642400000000003
cards,2025-03,551.9399999999999,67.12,0.34872800000000004,0.0074918,0.861,0.0023903999999999996
cards,2025-04,545.32,57.660000000000004,0.116574,0.0041294,0.5682400000000001,-0.0284286
cards,2025-05,570.194,47.980000000000004,0.2083024,0.0031108,0.617,-0.023150999999999998
cards,2025-06,565.1719999999999,44.64,0.0,0.0,0.42858,0.014871400000000002
cards,2025-07,560.552,49.5,0.2,0.0065614,0.8515,0.019756000000000003
cards,2025-08,588.766,60.56,0.2,0.0036195999999999997,0.5283599999999999,0.0032949999999999993
cards,2025-09,666.572,55.379999999999995,0.0,0.0,-0.38986,0.0107394
cards,2025-10,689.4399999999999,50.8,0.0,0.0,0.52318,0.0250002
cards,2025-11,673.1479999999999,36.88,0.0,0.0,-1.1139800000000002,0.027700800000000005
cards,2025-12,603.42,43.0,0.0,0.0,-0.80364,-0.005235000000000002
lego,2022-01,481.188,32.12,0.0185484,0.0008567999999999999,-0.9479799999999999,0.13716820000000002
lego,2022-02,470.68199999999996,20.740000000000002,0.0,0.0,-0.11257999999999997,0.1239614
lego,2022-03,476.642,21.240000000000002,0.10449440000000002,0.002086,-0.08045999999999998,0.07349974000000001
lego,2022-04,470.204,14.440000000000001,0.0,0.0,-0.51006,0.05990527999999999
lego,2022-05,430.78600000000006,14.560000000000002,0.1544624,0.0048947999999999995,0.37234,0.09026471999999999
lego,2022-06,474.52,12.959999999999999,0.0080646,0.0008654,0.26364,0.06710196
lego,2022-07,459.98,16.64,0.0080646,0.0009976,0.07765999999999999,0.004209399999999997
lego,2022-08,467.442,14.88,0.0542256,0.0058782,0.06982,0.040148050000000005
lego,2022-09,484.74799999999993,11.1,0.0080646,0.004329,-0.49379999999999996,0.045353899999999996
lego,2022-10,453.698,15.76,0.1080646,0.0045294,-0.3077,0.024284350000000003
lego,2022-11,453.66999999999996,37.839999999999996,0.1,-8.02e-05,0.37401999999999996,0.005835400000000002
lego,2022-12,554.842,43.42,0.11255899999999999,0.004919,-0.6742199999999999,-0.0110126
lego,2023-01,475.3,24.68,0.2,0.0148922,-0.17401999999999995,-0.0147106
lego,2023-02,475.884,12.459999999999999,0.0774194,0.0080038,0.6392200000000001,0.004503199999999996
lego,2023-03,490.45599999999996,12.620000000000001,0.10119320000000001,0.0082886,-0.04376000000000001,-0.005969479999999999
lego,2023-04,484.5,12.72,0.1375,-0.0001596,-0.1913,0.0064685399999999975
lego,2023-05,446.15200000000004,13.440000000000001,0.240242,0.0076262,-0.15594000000000005,0.015312059999999999
lego,2023-06,436.77200000000005,10.120000000000001,0.0,0.0,0.39762000000000003,0.01552248
lego,2023-07,434.04400000000004,19.56,0.0,0.0,0.8748400000000001,0.0349969
lego,2023-08,422.41,13.24,0.0129032,0.0009312000000000001,0.32308000000000003,0.031378133333333336
lego,2023-09,424.36,13.5,0.016128999999999998,0.0007092,0.12994,0.05069626666666667
